\\Generator Output Capability Month Report,,,,,,,,,,,,,,,,,,,,,,,,,,,
\\Created at 2024-01-03 06:00:13,,,,,,,,,,,,,,,,,,,,,,,,,,,
\\For January 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delivery Date,Generator,Fuel Type,Measurement,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14,Hour 15,Hour 16,Hour 17,Hour 18,Hour 19,Hour 20,Hour 21,Hour 22,Hour 23,Hour 24
2024-01-01,BRUCEA-G3,NUCLEAR,Output,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2024-01-01,BRUCEA-G4,NUCLEAR,Capability,816,816,816,816,816,816,816,816,816,816,816,816,816,816,816,816,816,816,816,816,816,816,816,816,
2024-01-01,BRUCEA-G4,NUCLEAR,Output,803,804,806,801,803,805,806,804,806,806,806,806,806,806,806,806,806,806,806,806,806,806,806,806,
2024-01-01,BRUCEB-G5,NUCLEAR,Capability,817,817,817,817,817,817,817,817,817,817,817,817,817,817,817,817,817,817,817,817,817,817,817,817,
2024-01-01,BRUCEB-G5,NUCLEAR,Output,819,816,816,816,816,815,815,813,813,813,812,811,812,812,812,812,812,814,815,814,813,813,814,814,
2024-01-01,BRUCEB-G6,NUCLEAR,Capability,817,817,817,817,817,817,817,817,817,817,817,817,817,817,817,817,817,817,817,817,817,817,817,817,
2024-01-01,BRUCEB-G6,NUCLEAR,Output,823,823,823,823,823,823,824,824,824,824,824,824,825,825,825,825,825,825,824,824,824,824,824,824,
2024-01-01,BRUCEB-G7,NUCLEAR,Capability,817,817,817,817,817,817,817,817,817,817,817,817,817,817,817,817,817,817,817,817,817,817,817,817,
2024-01-01,BRUCEB-G7,NUCLEAR,Output,825,825,825,825,826,825,825,825,825,825,825,825,824,825,825,825,827,827,826,827,826,825,825,824,
2024-01-01,BRUCEB-G8,NUCLEAR,Capability,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,
2024-01-01,BRUCEB-G8,NUCLEAR,Output,773,777,779,779,778,778,778,778,778,778,778,778,778,779,778,779,778,778,778,778,778,779,779,779,
2024-01-01,CALSTOCKGS,BIOFUEL,Capability,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,
2024-01-01,CALSTOCKGS,BIOFUEL,Output,16,20,17,17,17,17,24,29,29,29,29,29,30,30,30,30,30,30,30,30,31,30,30,23,
2024-01-01,CAMERONFALLS,HYDRO,Capability,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,
2024-01-01,CAMERONFALLS,HYDRO,Output,53,52,50,50,51,52,52,53,52,53,53,53,53,53,53,53,53,53,53,52,53,53,52,53,
2024-01-01,CANYON,HYDRO,Capability,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,
2024-01-01,CANYON,HYDRO,Output,191,191,154,124,68,102,103,166,194,180,171,171,171,170,171,170,171,171,170,170,170,169,118,115,
2024-01-01,CARDINAL,GAS,Capability,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,
2024-01-01,CARDINAL,GAS,Output,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2024-01-01,CARIBOUFALLS,HYDRO,Capability,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,
2024-01-01,CARIBOUFALLS,HYDRO,Output,29,28,27,28,28,28,28,76,81,82,82,82,82,82,82,82,83,83,82,82,58,31,29,30,
2024-01-01,CARMICHAEL,HYDRO,Capability,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,
2024-01-01,CARMICHAEL,HYDRO,Output,11,10,10,10,10,10,10,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,
2024-01-01,CEDAR POINT 2,WIND,Available Capacity,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
2024-01-01,CEDAR POINT 2,WIND,Forecast,40,57,68,71,83,61,29,22,26,14,13,15,33,68,50,31,19,14,13,18,14,19,19,15,
2024-01-01,CEDAR POINT 2,WIND,Output,42,62,68,75,83,57,27,23,24,14,13,16,39,69,49,29,19,14,13,19,13,20,19,14,
2024-01-01,CHATSFALLS,HYDRO,Capability,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,
2024-01-01,CHATSFALLS,HYDRO,Output,71,71,71,71,71,71,71,70,70,70,70,67,67,68,68,68,68,67,68,68,68,68,68,68,
2024-01-01,CHENAUX,HYDRO,Capability,158,158,158,158,158,158,158,158,158,138,138,138,138,138,158,158,158,158,158,158,158,158,158,158,
2024-01-01,CHENAUX,HYDRO,Output,82,83,68,69,85,85,100,101,101,114,114,114,113,98,99,99,113,112,111,110,110,96,96,96,
2024-01-01,CLERGUE,HYDRO,Capability,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,
2024-01-01,CLERGUE,HYDRO,Output,49,48,48,48,50,50,48,48,49,49,48,48,48,50,50,49,48,48,47,48,48,48,48,49,
2024-01-01,COMBER,WIND,Available Capacity,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,
2024-01-01,COMBER,WIND,Forecast,10,23,78,107,99,128,125,125,120,118,92,99,65,46,22,14,16,16,15,13,12,9,11,23,
