,imports,exports,netImportExports,POWER GENERATED,ONTARIO DEMAND,TOTAL EMISSIONS,CO2e INTENSITY,nuclearPercentage,hydroPercentage,gasPercentage,windPercentage,biofuelPercentage,solarPercentage,nuclearOutput,hydroOutput,gasOutput,windOutput,biofuelOutput,solarOutput
"Tue Nov 16, 8 AM - 9 AM","2,199 MW","2,174 MW",-25 MW,"16,448 MW","16,473 MW","1,209 tonnes",74 g/kWh,50.7%,24.7%,18.6%,5.0%,0.6%,0.3%,"8,331 MW","4,068 MW","3,064 MW",827 MW,102 MW,56 MW
"Tue Nov 16, 9 AM - 10 AM","2,203 MW","1,998 MW",-205 MW,"15,950 MW","16,155 MW","1,096 tonnes",69 g/kWh,52.0%,24.4%,17.8%,4.3%,0.5%,0.9%,"8,297 MW","3,895 MW","2,846 MW",680 MW,83 MW,149 MW
"Tue Nov 16, 10 AM - 11 AM","2,007 MW","2,094 MW",87 MW,"16,064 MW","15,977 MW","1,117 tonnes",70 g/kWh,51.7%,25.3%,18.1%,3.5%,0.5%,0.9%,"8,300 MW","4,069 MW","2,900 MW",556 MW,88 MW,151 MW
"Tue Nov 16, 11 AM - 12 PM","2,391 MW","2,311 MW",-80 MW,"15,873 MW","15,953 MW","1,116 tonnes",70 g/kWh,52.3%,25.0%,18.5%,2.6%,0.6%,1.1%,"8,302 MW","3,961 MW","2,933 MW",406 MW,89 MW,182 MW
"Tue Nov 16, 12 PM - 1 PM","2,053 MW","2,264 MW",211 MW,"16,010 MW","15,799 MW","1,124 tonnes",70 g/kWh,51.9%,24.7%,19.0%,2.6%,0.6%,1.3%,"8,303 MW","3,951 MW","3,035 MW",416 MW,102 MW,203 MW
"Tue Nov 16, 1 PM - 2 PM","2,379 MW","2,283 MW",-96 MW,"15,746 MW","15,842 MW",991 tonnes,63 g/kWh,52.8%,24.3%,18.9%,2.1%,0.6%,1.4%,"8,313 MW","3,822 MW","2,980 MW",325 MW,92 MW,214 MW
"Tue Nov 16, 2 PM - 3 PM","2,401 MW","2,257 MW",-144 MW,"15,914 MW","16,058 MW","1,053 tonnes",66 g/kWh,52.4%,25.1%,19.5%,1.5%,0.5%,1.0%,"8,333 MW","3,993 MW","3,108 MW",242 MW,80 MW,158 MW
"Tue Nov 16, 3 PM - 4 PM","2,399 MW","2,254 MW",-145 MW,"16,510 MW","16,655 MW","1,181 tonnes",72 g/kWh,50.5%,27.3%,20.4%,1.1%,0.5%,0.3%,"8,331 MW","4,501 MW","3,373 MW",174 MW,77 MW,54 MW
"Tue Nov 16, 4 PM - 5 PM","1,691 MW","1,990 MW",299 MW,"17,838 MW","17,539 MW","1,620 tonnes",91 g/kWh,46.6%,26.7%,25.3%,0.9%,0.5%,0.0%,"8,314 MW","4,765 MW","4,515 MW",156 MW,81 MW,7 MW
"Tue Nov 16, 5 PM - 6 PM","1,685 MW","1,666 MW",-19 MW,"18,409 MW","18,428 MW","1,688 tonnes",92 g/kWh,46.0%,26.0%,26.2%,1.3%,0.5%,0.0%,"8,473 MW","4,790 MW","4,819 MW",244 MW,83 MW,0 MW
"Tue Nov 16, 6 PM - 7 PM","1,986 MW","2,065 MW",79 MW,"18,034 MW","17,955 MW","1,539 tonnes",85 g/kWh,47.1%,26.9%,23.6%,1.9%,0.4%,0.0%,"8,493 MW","4,855 MW","4,265 MW",347 MW,74 MW,0 MW
"Tue Nov 16, 7 PM - 8 PM","2,260 MW","2,007 MW",-253 MW,"17,386 MW","17,639 MW","1,309 tonnes",75 g/kWh,48.8%,27.2%,19.8%,3.7%,0.4%,0.0%,"8,490 MW","4,737 MW","3,434 MW",650 MW,75 MW,0 MW
"Tue Nov 16, 8 PM - 9 PM","2,263 MW","2,027 MW",-236 MW,"16,934 MW","17,170 MW","1,260 tonnes",74 g/kWh,50.2%,25.8%,17.4%,6.1%,0.4%,0.0%,"8,497 MW","4,374 MW","2,952 MW","1,036 MW",75 MW,0 MW
"Tue Nov 16, 9 PM - 10 PM","2,264 MW","1,838 MW",-426 MW,"16,012 MW","16,438 MW","1,020 tonnes",64 g/kWh,53.1%,23.6%,14.6%,8.2%,0.5%,0.0%,"8,506 MW","3,781 MW","2,335 MW","1,316 MW",74 MW,0 MW
"Tue Nov 16, 10 PM - 11 PM","2,217 MW","2,470 MW",253 MW,"15,537 MW","15,284 MW",891 tonnes,57 g/kWh,54.7%,19.8%,13.1%,11.8%,0.5%,0.0%,"8,505 MW","3,080 MW","2,043 MW","1,834 MW",75 MW,0 MW
