,imports,exports,netImportExports,POWER GENERATED,ONTARIO DEMAND,TOTAL EMISSIONS,CO2e INTENSITY,nuclearPercentage,hydroPercentage,gasPercentage,windPercentage,biofuelPercentage,solarPercentage,nuclearOutput,hydroOutput,gasOutput,windOutput,biofuelOutput,solarOutput
"Fri Jun 16, 1 PM - 2 PM",9 MW,"1,634 MW","1,625 MW","17,045 MW","15,420 MW","1,074 tonnes",63 g/kWh,47.4%,23.1%,19.5%,8.1%,0.4%,1.5%,"8,080 MW","3,935 MW","3,330 MW","1,376 MW",67 MW,257 MW
"Fri Jun 16, 2 PM - 3 PM",9 MW,"1,660 MW","1,651 MW","17,062 MW","15,411 MW","1,006 tonnes",59 g/kWh,47.4%,23.3%,17.8%,9.6%,0.4%,1.5%,"8,088 MW","3,978 MW","3,037 MW","1,632 MW",67 MW,260 MW
"Fri Jun 16, 3 PM - 4 PM",9 MW,"1,878 MW","1,869 MW","17,237 MW","15,368 MW",965 tonnes,56 g/kWh,46.9%,24.0%,16.9%,10.4%,0.4%,1.3%,"8,089 MW","4,141 MW","2,912 MW","1,801 MW",73 MW,221 MW
"Fri Jun 16, 4 PM - 5 PM",9 MW,"1,854 MW","1,845 MW","17,530 MW","15,685 MW",984 tonnes,56 g/kWh,46.1%,25.6%,16.9%,9.9%,0.5%,1.0%,"8,080 MW","4,494 MW","2,965 MW","1,733 MW",79 MW,179 MW
"Fri Jun 16, 5 PM - 6 PM",9 MW,"1,974 MW","1,965 MW","17,997 MW","16,032 MW","1,166 tonnes",65 g/kWh,44.8%,25.7%,19.6%,8.6%,0.4%,0.9%,"8,069 MW","4,622 MW","3,524 MW","1,542 MW",80 MW,160 MW
"Fri Jun 16, 6 PM - 7 PM",9 MW,"2,014 MW","2,005 MW","18,190 MW","16,185 MW","1,198 tonnes",66 g/kWh,44.3%,25.5%,20.6%,8.6%,0.4%,0.5%,"8,067 MW","4,633 MW","3,747 MW","1,570 MW",80 MW,93 MW
"Fri Jun 16, 8 PM - 9 PM",9 MW,"1,639 MW","1,630 MW","17,530 MW","15,900 MW","1,182 tonnes",67 g/kWh,46.0%,27.5%,20.6%,5.4%,0.5%,0.0%,"8,059 MW","4,822 MW","3,617 MW",943 MW,81 MW,8 MW
"Fri Jun 16, 9 PM - 10 PM",9 MW,"1,434 MW","1,425 MW","17,283 MW","15,858 MW","1,235 tonnes",71 g/kWh,46.6%,25.7%,22.2%,5.0%,0.5%,0.0%,"8,050 MW","4,447 MW","3,841 MW",859 MW,86 MW,0 MW
"Fri Jun 16, 10 PM - 11 PM",9 MW,"1,390 MW","1,381 MW","16,540 MW","15,159 MW","1,121 tonnes",68 g/kWh,48.6%,24.6%,20.6%,5.7%,0.5%,0.0%,"8,045 MW","4,071 MW","3,404 MW",945 MW,75 MW,0 MW
"Sat Jun 17, 11 PM - 12 AM",9 MW,"1,149 MW","1,140 MW","15,142 MW","14,002 MW",846 tonnes,56 g/kWh,53.1%,22.3%,17.1%,7.1%,0.4%,0.0%,"8,039 MW","3,371 MW","2,585 MW","1,080 MW",67 MW,0 MW
"Sat Jun 17, 12 AM - 1 AM",9 MW,"1,099 MW","1,090 MW","14,143 MW","13,053 MW",566 tonnes,40 g/kWh,56.7%,24.2%,10.0%,8.6%,0.5%,0.0%,"8,025 MW","3,426 MW","1,414 MW","1,212 MW",66 MW,0 MW
