,imports,exports,netImportExports,POWER GENERATED,ONTARIO DEMAND,TOTAL EMISSIONS,CO2e INTENSITY,nuclearPercentage,hydroPercentage,gasPercentage,windPercentage,biofuelPercentage,solarPercentage,nuclearOutput,hydroOutput,gasOutput,windOutput,biofuelOutput,solarOutput
"Tue Oct 10, 11 PM - 12 AM",9 MW,"3,014 MW","3,005 MW","15,798 MW","12,793 MW",88 tonnes,6 g/kWh,57.4%,24.2%,2.1%,16.2%,0.0%,0.0%,"9,073 MW","3,831 MW",339 MW,"2,555 MW",0 MW,0 MW
"Tue Oct 10, 12 AM - 1 AM",54 MW,"3,106 MW","3,052 MW","15,355 MW","12,303 MW",105 tonnes,7 g/kWh,59.2%,24.0%,1.1%,15.7%,0.0%,0.0%,"9,086 MW","3,686 MW",168 MW,"2,415 MW",0 MW,0 MW
"Tue Oct 10, 1 AM - 2 AM",54 MW,"3,064 MW","3,010 MW","15,054 MW","12,044 MW",98 tonnes,7 g/kWh,60.4%,22.6%,1.0%,16.0%,0.0%,0.0%,"9,087 MW","3,403 MW",157 MW,"2,407 MW",0 MW,0 MW
"Tue Oct 10, 2 AM - 3 AM",67 MW,"3,106 MW","3,039 MW","14,805 MW","11,766 MW",98 tonnes,7 g/kWh,61.4%,21.1%,1.1%,16.4%,0.0%,0.0%,"9,089 MW","3,125 MW",157 MW,"2,434 MW",0 MW,0 MW
"Tue Oct 10, 3 AM - 4 AM",102 MW,"3,021 MW","2,919 MW","14,666 MW","11,747 MW",98 tonnes,7 g/kWh,62.0%,20.7%,2.0%,15.3%,0.0%,0.0%,"9,090 MW","3,043 MW",289 MW,"2,244 MW",0 MW,0 MW
"Tue Oct 10, 4 AM - 5 AM",54 MW,"3,126 MW","3,072 MW","15,018 MW","11,946 MW",98 tonnes,6 g/kWh,60.6%,21.6%,3.3%,14.5%,0.0%,0.0%,"9,096 MW","3,246 MW",497 MW,"2,179 MW",0 MW,0 MW
"Tue Oct 10, 5 AM - 6 AM",54 MW,"2,734 MW","2,680 MW","15,168 MW","12,488 MW",94 tonnes,6 g/kWh,59.9%,21.4%,5.1%,13.5%,0.0%,0.0%,"9,093 MW","3,247 MW",774 MW,"2,054 MW",0 MW,0 MW
"Tue Oct 10, 6 AM - 7 AM",54 MW,"2,024 MW","1,970 MW","15,758 MW","13,788 MW",120 tonnes,8 g/kWh,57.8%,25.2%,6.0%,11.0%,0.0%,0.0%,"9,103 MW","3,972 MW",952 MW,"1,731 MW",0 MW,0 MW
"Tue Oct 10, 7 AM - 8 AM",9 MW,"1,357 MW","1,348 MW","16,741 MW","15,393 MW",307 tonnes,18 g/kWh,54.4%,27.9%,8.9%,8.9%,0.0%,0.0%,"9,102 MW","4,670 MW","1,486 MW","1,483 MW",0 MW,0 MW
"Tue Oct 10, 8 AM - 9 AM",484 MW,"1,096 MW",612 MW,"16,468 MW","15,856 MW",426 tonnes,26 g/kWh,55.2%,25.4%,10.5%,8.8%,0.0%,0.1%,"9,098 MW","4,187 MW","1,730 MW","1,442 MW",0 MW,11 MW
"Tue Oct 10, 9 AM - 10 AM",536 MW,871 MW,335 MW,"16,016 MW","15,681 MW",338 tonnes,21 g/kWh,56.8%,25.0%,9.8%,8.2%,0.0%,0.3%,"9,094 MW","3,997 MW","1,562 MW","1,315 MW",0 MW,48 MW
"Tue Oct 10, 10 AM - 11 AM",637 MW,946 MW,309 MW,"16,124 MW","15,815 MW",439 tonnes,27 g/kWh,56.4%,23.6%,10.9%,8.6%,0.0%,0.5%,"9,095 MW","3,806 MW","1,751 MW","1,380 MW",5 MW,87 MW
"Tue Oct 10, 11 AM - 12 PM",709 MW,893 MW,184 MW,"15,822 MW","15,638 MW",363 tonnes,23 g/kWh,57.5%,22.6%,8.9%,9.7%,0.2%,1.1%,"9,099 MW","3,574 MW","1,412 MW","1,529 MW",36 MW,172 MW
"Tue Oct 10, 12 PM - 1 PM",609 MW,910 MW,301 MW,"15,764 MW","15,463 MW",337 tonnes,21 g/kWh,57.7%,21.0%,8.2%,11.3%,0.3%,1.5%,"9,097 MW","3,312 MW","1,286 MW","1,777 MW",54 MW,238 MW
"Tue Oct 10, 1 PM - 2 PM",451 MW,996 MW,545 MW,"15,823 MW","15,278 MW",365 tonnes,23 g/kWh,57.6%,21.2%,8.7%,10.9%,0.3%,1.3%,"9,112 MW","3,352 MW","1,379 MW","1,717 MW",53 MW,210 MW
"Tue Oct 10, 2 PM - 3 PM",9 MW,"1,002 MW",993 MW,"16,287 MW","15,294 MW",383 tonnes,23 g/kWh,55.9%,22.3%,8.7%,11.6%,0.3%,1.3%,"9,107 MW","3,629 MW","1,411 MW","1,883 MW",51 MW,206 MW
"Tue Oct 10, 3 PM - 4 PM",9 MW,"1,178 MW","1,169 MW","16,822 MW","15,653 MW",480 tonnes,29 g/kWh,54.1%,24.1%,10.2%,10.5%,0.3%,0.9%,"9,104 MW","4,046 MW","1,710 MW","1,765 MW",53 MW,144 MW
"Tue Oct 10, 4 PM - 5 PM",515 MW,"1,111 MW",596 MW,"16,731 MW","16,135 MW",516 tonnes,31 g/kWh,54.4%,24.7%,11.1%,8.9%,0.3%,0.6%,"9,100 MW","4,128 MW","1,854 MW","1,489 MW",56 MW,104 MW
"Tue Oct 10, 5 PM - 6 PM",807 MW,"1,124 MW",317 MW,"16,877 MW","16,560 MW",622 tonnes,37 g/kWh,54.0%,24.6%,13.0%,7.8%,0.5%,0.2%,"9,108 MW","4,145 MW","2,188 MW","1,319 MW",86 MW,31 MW
"Tue Oct 10, 6 PM - 7 PM",928 MW,"1,336 MW",408 MW,"17,145 MW","16,737 MW",564 tonnes,33 g/kWh,53.1%,25.0%,12.1%,9.3%,0.5%,0.0%,"9,112 MW","4,288 MW","2,072 MW","1,588 MW",83 MW,2 MW
"Tue Oct 10, 7 PM - 8 PM","1,185 MW","1,079 MW",-106 MW,"16,701 MW","16,807 MW",498 tonnes,30 g/kWh,54.6%,25.6%,10.2%,9.3%,0.3%,0.0%,"9,115 MW","4,276 MW","1,698 MW","1,557 MW",55 MW,0 MW
"Tue Oct 10, 8 PM - 9 PM",774 MW,"1,002 MW",228 MW,"16,618 MW","16,390 MW",507 tonnes,31 g/kWh,54.9%,25.1%,10.9%,8.7%,0.4%,0.0%,"9,119 MW","4,174 MW","1,812 MW","1,444 MW",69 MW,0 MW
"Tue Oct 10, 9 PM - 10 PM",74 MW,972 MW,898 MW,"16,646 MW","15,748 MW",465 tonnes,28 g/kWh,54.7%,24.9%,10.6%,9.4%,0.4%,0.0%,"9,113 MW","4,137 MW","1,768 MW","1,563 MW",65 MW,0 MW
"Tue Oct 10, 10 PM - 11 PM",9 MW,"1,085 MW","1,076 MW","15,770 MW","14,694 MW",299 tonnes,19 g/kWh,57.9%,24.3%,7.7%,10.0%,0.1%,0.0%,"9,123 MW","3,835 MW","1,218 MW","1,577 MW",17 MW,0 MW
"Wed Oct 11, 11 PM - 12 AM",41 MW,"1,609 MW","1,568 MW","15,262 MW","13,694 MW",290 tonnes,19 g/kWh,59.8%,22.4%,7.9%,9.8%,0.0%,0.0%,"9,127 MW","3,419 MW","1,213 MW","1,503 MW",0 MW,0 MW
"Wed Oct 11, 12 AM - 1 AM",68 MW,"1,666 MW","1,598 MW","14,589 MW","12,991 MW",282 tonnes,19 g/kWh,62.6%,23.2%,5.0%,9.2%,0.0%,0.0%,"9,132 MW","3,385 MW",727 MW,"1,345 MW",0 MW,0 MW
"Wed Oct 11, 1 AM - 2 AM",54 MW,"1,718 MW","1,664 MW","14,238 MW","12,574 MW",149 tonnes,10 g/kWh,64.2%,25.0%,2.2%,8.6%,0.0%,0.0%,"9,134 MW","3,564 MW",313 MW,"1,227 MW",0 MW,0 MW
"Wed Oct 11, 2 AM - 3 AM",62 MW,"1,741 MW","1,679 MW","14,121 MW","12,442 MW",142 tonnes,10 g/kWh,64.7%,23.7%,3.8%,7.8%,0.0%,0.0%,"9,134 MW","3,345 MW",539 MW,"1,103 MW",0 MW,0 MW
"Wed Oct 11, 3 AM - 4 AM",62 MW,"1,750 MW","1,688 MW","14,027 MW","12,339 MW",101 tonnes,7 g/kWh,65.1%,21.9%,5.7%,7.3%,0.0%,0.0%,"9,132 MW","3,069 MW",806 MW,"1,020 MW",0 MW,0 MW
"Wed Oct 11, 4 AM - 5 AM",57 MW,"1,716 MW","1,659 MW","14,097 MW","12,438 MW",121 tonnes,9 g/kWh,64.8%,22.1%,6.1%,6.9%,0.1%,0.0%,"9,132 MW","3,121 MW",859 MW,969 MW,16 MW,0 MW
"Wed Oct 11, 5 AM - 6 AM",88 MW,"1,138 MW","1,050 MW","14,011 MW","12,961 MW",151 tonnes,11 g/kWh,65.2%,21.7%,6.6%,6.3%,0.3%,0.0%,"9,133 MW","3,037 MW",923 MW,878 MW,40 MW,0 MW
"Wed Oct 11, 6 AM - 7 AM",556 MW,"1,234 MW",678 MW,"14,898 MW","14,220 MW",251 tonnes,17 g/kWh,61.3%,24.5%,8.3%,5.4%,0.5%,0.0%,"9,136 MW","3,652 MW","1,231 MW",811 MW,68 MW,0 MW
"Wed Oct 11, 7 AM - 8 AM",346 MW,891 MW,545 MW,"16,082 MW","15,537 MW",508 tonnes,32 g/kWh,56.8%,25.5%,12.2%,4.8%,0.7%,0.0%,"9,133 MW","4,108 MW","1,965 MW",769 MW,106 MW,1 MW
"Wed Oct 11, 8 AM - 9 AM",457 MW,764 MW,307 MW,"16,265 MW","15,958 MW",710 tonnes,44 g/kWh,56.2%,24.5%,14.9%,3.7%,0.6%,0.2%,"9,134 MW","3,978 MW","2,422 MW",608 MW,97 MW,26 MW
"Wed Oct 11, 9 AM - 10 AM",48 MW,688 MW,640 MW,"16,544 MW","15,904 MW",779 tonnes,47 g/kWh,55.2%,24.4%,15.5%,3.6%,0.6%,0.7%,"9,137 MW","4,034 MW","2,561 MW",589 MW,103 MW,120 MW
"Wed Oct 11, 10 AM - 11 AM",469 MW,"1,085 MW",616 MW,"16,298 MW","15,682 MW",782 tonnes,48 g/kWh,56.0%,22.8%,15.7%,3.8%,0.6%,1.0%,"9,133 MW","3,721 MW","2,561 MW",618 MW,96 MW,169 MW
"Wed Oct 11, 11 AM - 12 PM",411 MW,"1,038 MW",627 MW,"16,154 MW","15,527 MW",743 tonnes,46 g/kWh,56.5%,22.0%,15.5%,4.3%,0.6%,1.2%,"9,135 MW","3,546 MW","2,497 MW",700 MW,90 MW,186 MW
"Wed Oct 11, 12 PM - 1 PM",115 MW,977 MW,862 MW,"16,069 MW","15,207 MW",643 tonnes,40 g/kWh,56.8%,21.9%,14.3%,5.1%,0.5%,1.4%,"9,135 MW","3,515 MW","2,298 MW",812 MW,77 MW,232 MW
"Wed Oct 11, 1 PM - 2 PM",108 MW,"1,015 MW",907 MW,"15,939 MW","15,032 MW",604 tonnes,38 g/kWh,57.3%,21.7%,14.0%,5.3%,0.4%,1.4%,"9,129 MW","3,452 MW","2,228 MW",841 MW,68 MW,221 MW
"Wed Oct 11, 2 PM - 3 PM",9 MW,957 MW,948 MW,"15,821 MW","14,873 MW",621 tonnes,39 g/kWh,57.7%,21.4%,13.8%,5.7%,0.5%,0.9%,"9,129 MW","3,378 MW","2,191 MW",905 MW,80 MW,138 MW
"Wed Oct 11, 3 PM - 4 PM",9 MW,985 MW,976 MW,"15,986 MW","15,010 MW",616 tonnes,39 g/kWh,57.1%,22.5%,13.5%,5.5%,0.4%,1.0%,"9,132 MW","3,596 MW","2,159 MW",872 MW,68 MW,159 MW
"Wed Oct 11, 4 PM - 5 PM",24 MW,998 MW,974 MW,"16,423 MW","15,449 MW",636 tonnes,39 g/kWh,55.6%,25.5%,13.7%,4.1%,0.3%,0.7%,"9,137 MW","4,196 MW","2,250 MW",675 MW,53 MW,112 MW
"Wed Oct 11, 5 PM - 6 PM",685 MW,"1,208 MW",523 MW,"16,389 MW","15,866 MW",630 tonnes,38 g/kWh,55.7%,25.8%,14.1%,3.7%,0.3%,0.3%,"9,132 MW","4,236 MW","2,314 MW",599 MW,55 MW,53 MW
"Wed Oct 11, 6 PM - 7 PM","1,284 MW","1,391 MW",107 MW,"16,349 MW","16,242 MW",650 tonnes,40 g/kWh,55.9%,26.3%,14.4%,3.1%,0.3%,0.0%,"9,132 MW","4,294 MW","2,360 MW",501 MW,56 MW,6 MW
"Wed Oct 11, 7 PM - 8 PM","1,441 MW","1,300 MW",-141 MW,"16,528 MW","16,669 MW",667 tonnes,40 g/kWh,55.3%,26.5%,14.5%,3.4%,0.3%,0.0%,"9,136 MW","4,376 MW","2,397 MW",562 MW,57 MW,0 MW
"Wed Oct 11, 8 PM - 9 PM","1,104 MW","1,253 MW",149 MW,"16,465 MW","16,316 MW",740 tonnes,45 g/kWh,55.5%,25.6%,15.4%,3.0%,0.5%,0.0%,"9,133 MW","4,217 MW","2,535 MW",502 MW,78 MW,0 MW
"Wed Oct 11, 9 PM - 10 PM",639 MW,"1,014 MW",375 MW,"16,016 MW","15,641 MW",609 tonnes,38 g/kWh,57.0%,25.9%,14.1%,2.7%,0.4%,0.0%,"9,124 MW","4,153 MW","2,254 MW",425 MW,60 MW,0 MW
"Wed Oct 11, 10 PM - 11 PM",9 MW,949 MW,940 MW,"15,808 MW","14,868 MW",593 tonnes,37 g/kWh,57.7%,25.7%,13.9%,2.2%,0.5%,0.0%,"9,128 MW","4,062 MW","2,200 MW",346 MW,72 MW,0 MW
"Thu Oct 12, 11 PM - 12 AM",9 MW,902 MW,893 MW,"14,765 MW","13,872 MW",392 tonnes,27 g/kWh,61.8%,25.3%,10.0%,2.5%,0.4%,0.0%,"9,126 MW","3,734 MW","1,475 MW",375 MW,55 MW,0 MW
"Thu Oct 12, 12 AM - 1 AM",54 MW,986 MW,932 MW,"14,046 MW","13,114 MW",294 tonnes,21 g/kWh,65.0%,26.7%,6.1%,2.2%,0.1%,0.0%,"9,127 MW","3,744 MW",850 MW,309 MW,16 MW,0 MW
"Thu Oct 12, 1 AM - 2 AM",33 MW,"1,003 MW",970 MW,"13,600 MW","12,630 MW",214 tonnes,16 g/kWh,67.1%,27.0%,3.6%,2.2%,0.1%,0.0%,"9,132 MW","3,673 MW",485 MW,296 MW,14 MW,0 MW
"Thu Oct 12, 2 AM - 3 AM",25 MW,"1,015 MW",990 MW,"13,427 MW","12,437 MW",180 tonnes,13 g/kWh,68.0%,24.9%,5.0%,1.8%,0.3%,0.0%,"9,136 MW","3,340 MW",670 MW,244 MW,37 MW,0 MW
"Thu Oct 12, 3 AM - 4 AM",31 MW,"1,604 MW","1,573 MW","13,938 MW","12,365 MW",183 tonnes,13 g/kWh,65.6%,25.4%,7.0%,1.7%,0.3%,0.0%,"9,142 MW","3,544 MW",981 MW,233 MW,38 MW,0 MW
"Thu Oct 12, 4 AM - 5 AM",9 MW,"1,385 MW","1,376 MW","13,930 MW","12,554 MW",212 tonnes,15 g/kWh,65.6%,24.5%,7.6%,2.0%,0.3%,0.0%,"9,136 MW","3,416 MW","1,059 MW",281 MW,38 MW,0 MW
"Thu Oct 12, 5 AM - 6 AM",9 MW,"1,343 MW","1,334 MW","14,140 MW","12,806 MW",268 tonnes,19 g/kWh,64.7%,24.0%,8.5%,2.5%,0.3%,0.0%,"9,150 MW","3,400 MW","1,199 MW",351 MW,40 MW,0 MW
"Thu Oct 12, 6 AM - 7 AM",409 MW,"1,458 MW","1,049 MW","15,424 MW","14,375 MW",556 tonnes,36 g/kWh,59.3%,24.0%,13.5%,2.7%,0.5%,0.0%,"9,149 MW","3,705 MW","2,077 MW",414 MW,79 MW,0 MW
"Thu Oct 12, 7 AM - 8 AM",707 MW,"1,185 MW",478 MW,"16,026 MW","15,548 MW",681 tonnes,42 g/kWh,57.0%,24.8%,15.1%,2.5%,0.6%,0.0%,"9,140 MW","3,971 MW","2,415 MW",407 MW,91 MW,2 MW
"Thu Oct 12, 8 AM - 9 AM",326 MW,592 MW,266 MW,"15,980 MW","15,714 MW",693 tonnes,43 g/kWh,57.2%,24.8%,15.3%,1.7%,0.6%,0.3%,"9,140 MW","3,966 MW","2,452 MW",279 MW,88 MW,55 MW
"Thu Oct 12, 9 AM - 10 AM",592 MW,515 MW,-77 MW,"15,161 MW","15,238 MW",686 tonnes,45 g/kWh,60.3%,22.1%,14.9%,1.1%,0.5%,1.1%,"9,143 MW","3,353 MW","2,258 MW",161 MW,80 MW,166 MW
"Thu Oct 12, 10 AM - 11 AM",127 MW,632 MW,505 MW,"15,379 MW","14,874 MW",665 tonnes,43 g/kWh,59.4%,22.8%,14.8%,0.8%,0.6%,1.6%,"9,141 MW","3,500 MW","2,274 MW",130 MW,85 MW,249 MW
"Thu Oct 12, 11 AM - 12 PM",10 MW,"1,066 MW","1,056 MW","15,771 MW","14,715 MW",668 tonnes,42 g/kWh,57.9%,24.1%,15.0%,0.7%,0.3%,2.0%,"9,137 MW","3,805 MW","2,364 MW",110 MW,42 MW,313 MW
"Thu Oct 12, 12 PM - 1 PM",10 MW,"1,283 MW","1,273 MW","15,842 MW","14,569 MW",740 tonnes,47 g/kWh,57.7%,23.2%,15.9%,0.8%,0.2%,2.2%,"9,137 MW","3,673 MW","2,516 MW",131 MW,33 MW,352 MW
"Thu Oct 12, 1 PM - 2 PM",131 MW,"1,260 MW","1,129 MW","15,636 MW","14,507 MW",673 tonnes,43 g/kWh,58.4%,22.6%,15.3%,1.6%,0.2%,1.9%,"9,131 MW","3,538 MW","2,385 MW",252 MW,33 MW,297 MW
"Thu Oct 12, 2 PM - 3 PM",213 MW,"1,324 MW","1,111 MW","15,523 MW","14,412 MW",558 tonnes,36 g/kWh,58.8%,23.0%,13.8%,2.3%,0.2%,1.9%,"9,130 MW","3,570 MW","2,141 MW",361 MW,33 MW,288 MW
"Thu Oct 12, 3 PM - 4 PM",616 MW,"1,361 MW",745 MW,"15,418 MW","14,673 MW",560 tonnes,36 g/kWh,59.2%,23.0%,13.9%,2.1%,0.2%,1.5%,"9,131 MW","3,543 MW","2,150 MW",329 MW,29 MW,236 MW
"Thu Oct 12, 4 PM - 5 PM",608 MW,992 MW,384 MW,"15,547 MW","15,163 MW",543 tonnes,35 g/kWh,58.7%,25.2%,13.6%,1.7%,0.3%,0.5%,"9,128 MW","3,914 MW","2,121 MW",259 MW,41 MW,84 MW
"Thu Oct 12, 5 PM - 6 PM",988 MW,938 MW,-50 MW,"15,708 MW","15,758 MW",534 tonnes,34 g/kWh,58.1%,25.4%,12.1%,3.5%,0.4%,0.4%,"9,127 MW","3,986 MW","1,908 MW",553 MW,66 MW,68 MW
"Thu Oct 12, 6 PM - 7 PM","1,174 MW","1,071 MW",-103 MW,"15,882 MW","15,985 MW",532 tonnes,34 g/kWh,57.5%,24.9%,11.4%,5.7%,0.4%,0.1%,"9,134 MW","3,950 MW","1,817 MW",902 MW,71 MW,8 MW
"Thu Oct 12, 7 PM - 8 PM","1,248 MW","1,018 MW",-230 MW,"16,121 MW","16,351 MW",531 tonnes,33 g/kWh,56.6%,23.8%,11.3%,7.9%,0.4%,0.0%,"9,127 MW","3,837 MW","1,816 MW","1,273 MW",68 MW,0 MW
"Thu Oct 12, 8 PM - 9 PM",859 MW,"1,215 MW",356 MW,"16,331 MW","15,975 MW",528 tonnes,32 g/kWh,55.9%,23.4%,11.1%,9.3%,0.4%,0.0%,"9,124 MW","3,818 MW","1,812 MW","1,518 MW",59 MW,0 MW
"Thu Oct 12, 9 PM - 10 PM",205 MW,"1,038 MW",833 MW,"16,202 MW","15,369 MW",477 tonnes,29 g/kWh,56.3%,23.4%,10.5%,9.5%,0.3%,0.0%,"9,122 MW","3,787 MW","1,696 MW","1,542 MW",55 MW,0 MW
"Thu Oct 12, 10 PM - 11 PM",9 MW,"1,176 MW","1,167 MW","15,571 MW","14,404 MW",295 tonnes,19 g/kWh,58.6%,25.0%,8.1%,8.1%,0.2%,0.0%,"9,125 MW","3,888 MW","1,266 MW","1,267 MW",25 MW,0 MW
"Fri Oct 13, 11 PM - 12 AM",9 MW,"1,705 MW","1,696 MW","15,173 MW","13,477 MW",209 tonnes,14 g/kWh,60.1%,26.1%,6.8%,7.0%,0.1%,0.0%,"9,121 MW","3,954 MW","1,033 MW","1,055 MW",10 MW,0 MW
"Fri Oct 13, 12 AM - 1 AM",9 MW,"1,957 MW","1,948 MW","14,745 MW","12,797 MW",102 tonnes,7 g/kWh,61.9%,26.5%,5.5%,6.0%,0.1%,0.0%,"9,130 MW","3,910 MW",805 MW,888 MW,12 MW,0 MW
"Fri Oct 13, 1 AM - 2 AM",54 MW,"1,720 MW","1,666 MW","14,105 MW","12,439 MW",86 tonnes,6 g/kWh,64.7%,26.3%,2.6%,6.3%,0.0%,0.0%,"9,130 MW","3,709 MW",366 MW,894 MW,6 MW,0 MW
"Fri Oct 13, 2 AM - 3 AM",64 MW,"1,338 MW","1,274 MW","13,550 MW","12,276 MW",85 tonnes,6 g/kWh,67.4%,25.7%,1.4%,5.5%,0.0%,0.0%,"9,132 MW","3,478 MW",190 MW,750 MW,0 MW,0 MW
"Fri Oct 13, 3 AM - 4 AM",61 MW,"1,994 MW","1,933 MW","14,100 MW","12,167 MW",128 tonnes,9 g/kWh,64.7%,26.9%,3.8%,4.6%,0.0%,0.0%,"9,129 MW","3,786 MW",538 MW,647 MW,0 MW,0 MW
"Fri Oct 13, 4 AM - 5 AM",54 MW,"1,789 MW","1,735 MW","14,151 MW","12,416 MW",95 tonnes,7 g/kWh,64.6%,23.9%,7.1%,4.4%,0.1%,0.0%,"9,136 MW","3,381 MW","1,001 MW",622 MW,11 MW,0 MW
"Fri Oct 13, 5 AM - 6 AM",54 MW,"1,311 MW","1,257 MW","14,185 MW","12,928 MW",175 tonnes,12 g/kWh,64.4%,22.3%,9.2%,3.8%,0.3%,0.0%,"9,131 MW","3,164 MW","1,303 MW",545 MW,42 MW,0 MW
"Fri Oct 13, 6 AM - 7 AM",793 MW,"1,465 MW",672 MW,"14,889 MW","14,217 MW",355 tonnes,24 g/kWh,61.4%,23.5%,11.4%,3.4%,0.3%,0.0%,"9,137 MW","3,499 MW","1,690 MW",511 MW,52 MW,0 MW
"Fri Oct 13, 7 AM - 8 AM",976 MW,"1,357 MW",381 MW,"15,821 MW","15,440 MW",437 tonnes,28 g/kWh,57.8%,25.6%,11.7%,4.6%,0.4%,0.0%,"9,139 MW","4,045 MW","1,848 MW",725 MW,59 MW,5 MW
"Fri Oct 13, 8 AM - 9 AM","1,032 MW","1,156 MW",124 MW,"15,861 MW","15,737 MW",387 tonnes,24 g/kWh,57.6%,25.6%,11.0%,5.0%,0.3%,0.4%,"9,137 MW","4,063 MW","1,747 MW",792 MW,54 MW,68 MW
"Fri Oct 13, 9 AM - 10 AM",830 MW,"1,155 MW",325 MW,"15,716 MW","15,391 MW",428 tonnes,27 g/kWh,58.1%,25.9%,11.6%,2.8%,0.3%,1.3%,"9,135 MW","4,065 MW","1,822 MW",436 MW,54 MW,204 MW
"Fri Oct 13, 10 AM - 11 AM",688 MW,"1,188 MW",500 MW,"15,678 MW","15,178 MW",443 tonnes,28 g/kWh,58.3%,25.4%,11.8%,2.3%,0.5%,1.7%,"9,137 MW","3,984 MW","1,846 MW",367 MW,80 MW,264 MW
"Fri Oct 13, 11 AM - 12 PM",509 MW,"1,214 MW",705 MW,"15,763 MW","15,058 MW",486 tonnes,31 g/kWh,57.9%,26.6%,11.0%,2.2%,0.6%,1.7%,"9,133 MW","4,191 MW","1,741 MW",340 MW,87 MW,271 MW
"Fri Oct 13, 12 PM - 1 PM",435 MW,"1,362 MW",927 MW,"16,062 MW","15,135 MW",585 tonnes,36 g/kWh,56.9%,25.7%,13.0%,2.1%,0.8%,1.5%,"9,134 MW","4,130 MW","2,092 MW",340 MW,124 MW,242 MW
"Fri Oct 13, 1 PM - 2 PM",502 MW,"1,305 MW",803 MW,"15,879 MW","15,076 MW",519 tonnes,33 g/kWh,57.5%,26.4%,11.8%,2.5%,0.7%,1.2%,"9,132 MW","4,187 MW","1,868 MW",402 MW,106 MW,184 MW
"Fri Oct 13, 2 PM - 3 PM",514 MW,"1,105 MW",591 MW,"15,521 MW","14,930 MW",599 tonnes,39 g/kWh,58.8%,27.7%,9.1%,2.5%,0.8%,1.2%,"9,127 MW","4,294 MW","1,414 MW",383 MW,124 MW,179 MW
"Fri Oct 13, 3 PM - 4 PM",859 MW,891 MW,32 MW,"15,094 MW","15,062 MW",540 tonnes,36 g/kWh,60.5%,26.7%,7.3%,3.9%,0.8%,0.9%,"9,126 MW","4,031 MW","1,107 MW",583 MW,116 MW,131 MW
"Fri Oct 13, 4 PM - 5 PM","1,229 MW","1,127 MW",-102 MW,"15,261 MW","15,363 MW",537 tonnes,35 g/kWh,59.8%,27.0%,7.8%,4.4%,0.6%,0.4%,"9,128 MW","4,126 MW","1,187 MW",667 MW,90 MW,63 MW
"Fri Oct 13, 5 PM - 6 PM","1,073 MW",992 MW,-81 MW,"15,693 MW","15,774 MW",708 tonnes,45 g/kWh,58.2%,26.3%,10.3%,4.5%,0.6%,0.1%,"9,136 MW","4,121 MW","1,611 MW",709 MW,93 MW,23 MW
"Fri Oct 13, 6 PM - 7 PM","1,229 MW","1,156 MW",-73 MW,"15,791 MW","15,864 MW",699 tonnes,44 g/kWh,57.8%,26.4%,10.1%,5.1%,0.6%,0.0%,"9,132 MW","4,170 MW","1,591 MW",806 MW,92 MW,0 MW
"Fri Oct 13, 7 PM - 8 PM","1,139 MW","1,120 MW",-19 MW,"16,015 MW","16,034 MW",665 tonnes,42 g/kWh,57.0%,26.3%,9.5%,6.7%,0.5%,0.0%,"9,127 MW","4,212 MW","1,519 MW","1,073 MW",84 MW,0 MW
"Fri Oct 13, 8 PM - 9 PM","1,017 MW","1,001 MW",-16 MW,"15,680 MW","15,696 MW",624 tonnes,40 g/kWh,58.2%,24.1%,9.1%,8.3%,0.3%,0.0%,"9,127 MW","3,777 MW","1,430 MW","1,294 MW",52 MW,0 MW
"Fri Oct 13, 9 PM - 10 PM",570 MW,"1,051 MW",481 MW,"15,521 MW","15,040 MW",619 tonnes,40 g/kWh,58.8%,22.2%,9.2%,9.5%,0.3%,0.0%,"9,125 MW","3,439 MW","1,423 MW","1,482 MW",52 MW,0 MW
"Fri Oct 13, 10 PM - 11 PM",10 MW,"1,148 MW","1,138 MW","15,299 MW","14,161 MW",539 tonnes,35 g/kWh,59.7%,21.8%,7.9%,10.3%,0.3%,0.0%,"9,127 MW","3,341 MW","1,208 MW","1,576 MW",47 MW,0 MW
"Sat Oct 14, 11 PM - 12 AM",23 MW,"1,818 MW","1,795 MW","15,082 MW","13,287 MW",336 tonnes,22 g/kWh,60.5%,22.4%,5.1%,11.7%,0.3%,0.0%,"9,127 MW","3,379 MW",771 MW,"1,761 MW",44 MW,0 MW
"Sat Oct 14, 12 AM - 1 AM",84 MW,"2,536 MW","2,452 MW","14,974 MW","12,522 MW",175 tonnes,12 g/kWh,61.0%,25.1%,2.6%,11.1%,0.3%,0.0%,"9,133 MW","3,754 MW",382 MW,"1,660 MW",45 MW,0 MW
"Sat Oct 14, 1 AM - 2 AM",54 MW,"2,549 MW","2,495 MW","14,733 MW","12,238 MW",156 tonnes,11 g/kWh,62.0%,22.7%,2.3%,13.0%,0.1%,0.0%,"9,139 MW","3,345 MW",333 MW,"1,908 MW",8 MW,0 MW
"Sat Oct 14, 2 AM - 3 AM",114 MW,"2,983 MW","2,869 MW","14,696 MW","11,827 MW",109 tonnes,7 g/kWh,62.2%,21.0%,1.4%,15.5%,0.0%,0.0%,"9,138 MW","3,081 MW",202 MW,"2,275 MW",0 MW,0 MW
